sample	R1	R2
5552_hypo	5552_hypo_ACAGTG_L008_R1_001.fastq.gz	5552_hypo_ACAGTG_L008_R2_001.fastq.gz
5552_liver	5552_liver_GGCTAC_L001_R1_001.fastq.gz	5552_liver_GGCTAC_L001_R2_001.fastq.gz
5552_liver	5552_liver_GGCTAC_L002_R1_001.fastq.gz	5552_liver_GGCTAC_L002_R2_001.fastq.gz
5552_liver	5552_liver_GGCTAC_L004_R1_001.fastq.gz	5552_liver_GGCTAC_L004_R2_001.fastq.gz
5552_liver	5552_liver_GGCTAC_L007_R1_001.fastq.gz	5552_liver_GGCTAC_L007_R2_001.fastq.gz
5552_p_major	5552_p_major_ACAGTG_L001_R1_001.fastq.gz	5552_p_major_ACAGTG_L001_R2_001.fastq.gz
5552_p_major	5552_p_major_ACAGTG_L002_R1_001.fastq.gz	5552_p_major_ACAGTG_L002_R2_001.fastq.gz
5552_p_major	5552_p_major_ACAGTG_L003_R1_001.fastq.gz	5552_p_major_ACAGTG_L003_R2_001.fastq.gz
5552_p_major	5552_p_major_ACAGTG_L006_R1_001.fastq.gz	5552_p_major_ACAGTG_L006_R2_001.fastq.gz
5555_hypo	5555_hypo_GCCAAT_L003_R1_001.fastq.gz	5555_hypo_GCCAAT_L003_R2_001.fastq.gz
5555_hypo	5555_hypo_GCCAAT_L004_R1_001.fastq.gz	5555_hypo_GCCAAT_L004_R2_001.fastq.gz
5555_hypo	5555_hypo_GCCAAT_L005_R1_001.fastq.gz	5555_hypo_GCCAAT_L005_R2_001.fastq.gz
5555_hypo	5555_hypo_GCCAAT_L008_R1_001.fastq.gz	5555_hypo_GCCAAT_L008_R2_001.fastq.gz
5555_liver	5555_liver_CTTGTA_L001_R1_001.fastq.gz	5555_liver_CTTGTA_L001_R2_001.fastq.gz
5555_liver	5555_liver_CTTGTA_L002_R1_001.fastq.gz	5555_liver_CTTGTA_L002_R2_001.fastq.gz
5555_liver	5555_liver_CTTGTA_L004_R1_001.fastq.gz	5555_liver_CTTGTA_L004_R2_001.fastq.gz
5555_liver	5555_liver_CTTGTA_L007_R1_001.fastq.gz	5555_liver_CTTGTA_L007_R2_001.fastq.gz
5555_p_major	5555_p_major_GCCAAT_L001_R1_001.fastq.gz	5555_p_major_GCCAAT_L001_R2_001.fastq.gz
5555_p_major	5555_p_major_GCCAAT_L002_R1_001.fastq.gz	5555_p_major_GCCAAT_L002_R2_001.fastq.gz
5555_p_major	5555_p_major_GCCAAT_L003_R1_001.fastq.gz	5555_p_major_GCCAAT_L003_R2_001.fastq.gz
5555_p_major	5555_p_major_GCCAAT_L006_R1_001.fastq.gz	5555_p_major_GCCAAT_L006_R2_001.fastq.gz
